time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
387907,0,0,0,15048,23352
387916,0,0,0,15288,23112
387917,0,0,0,15048,23352
387927,0,0,0,15000,23400
387951,0,0,0,14952,23448
387952,0,0,0,15096,23304
387955,0,0,0,14856,23544
387956,0,0,0,14904,23496
387958,0,0,0,15144,23256
387976,0,0,0,15024,23376
387978,0,0,0,15144,23256
387983,0,0,0,15120,23280
387984,0,0,0,14880,23520
387994,0,0,0,14904,23496
387997,0,0,0,15144,23256
388050,0,0,0,15120,23280
388061,0,0,0,15144,23256
388104,0,0,0,15192,23208
388112,0,0,0,15168,23232
388123,0,0,0,15192,23208
388147,0,0,0,15168,23232
388158,0,0,0,15192,23208
388170,0,0,0,15432,22968
388179,0,0,0,15384,23016
388191,0,0,0,15432,22968
388208,0,0,0,15408,22992
388219,0,0,0,15432,22968
388241,0,0,0,15384,23016
388252,0,0,0,15432,22968
388304,0,0,0,15384,23016
388315,0,0,0,15432,22968
388369,0,0,0,15384,23016
388380,0,0,0,15432,22968
388435,0,0,0,15384,23016
388446,0,0,0,15432,22968
388497,0,0,0,15408,22992
388528,0,0,0,15384,23016
388560,0,0,0,15408,22992
388562,0,0,0,15432,22968
388628,0,0,0,15408,22992
388660,0,0,0,15432,22968
391951,0,0,0,15456,22944
404006,0,0,0,26976,11424
407399,0,0,0,24096,14304
409332,0,0,0,28608,9792
410011,0,0,0,14784,23616
412682,0,0,0,14760,23640
414707,0,0,0,6984,31416
415009,0,0,0,7008,31392
415037,0,0,0,6984,31416
418143,0,0,0,11496,26904
418324,0,0,0,9192,29208
418358,0,0,0,11592,26808
418904,0,0,0,11568,26832
418939,0,0,0,11592,26808
422238,0,0,0,11616,26784
422550,0,0,0,11592,26808
423091,0,0,0,11616,26784
425052,0,0,0,11592,26808
426753,0,0,0,9792,28608
427770,0,0,0,4992,33408
427826,0,0,0,9792,28608
431000,0,0,0,9816,28584
431037,0,0,0,8856,29544
431325,0,0,0,7896,30504
433219,0,0,0,5496,32904
441017,0,0,0,6456,31944
443116,0,0,0,3384,35016
443525,0,0,0,5688,32712
443922,0,0,0,6648,31752
457458,0,0,0,9720,28680
463548,0,0,0,9624,28776
464999,0,0,0,9720,28680
465000,0,0,0,12600,25800
466786,0,0,0,12336,26064
467248,0,0,0,12072,26328
467611,0,0,0,11976,26424
467612,0,0,0,25800,12600
467612,0,0,0,12840,25560
467612,0,0,0,9768,28632
468875,0,0,0,9864,28536
469093,0,0,0,10128,28272
471297,0,0,0,9096,29304
471629,0,0,0,6024,32376
471682,0,0,0,9096,29304
472308,0,0,0,16872,21528
474160,0,0,0,17904,20496
474301,0,0,0,17856,20544
474302,0,0,0,17832,20568
474303,0,0,0,17592,20808
474303,0,0,0,17496,20904
474303,0,0,0,17472,20928
474304,0,0,0,17496,20904
474304,0,0,0,17472,20928
474306,0,0,0,17520,20880
474306,0,0,0,17376,21024
474306,0,0,0,17472,20928
474307,0,0,0,17496,20904
474318,0,0,0,17520,20880
474323,0,0,0,17760,20640
474334,0,0,0,17520,20880
474338,0,0,0,17472,20928
474367,0,0,0,17616,20784
474367,0,0,0,17568,20832
474372,0,0,0,17616,20784
474377,0,0,0,17376,21024
474380,0,0,0,17616,20784
474394,0,0,0,17496,20904
474397,0,0,0,17616,20784
474399,0,0,0,17592,20808
474410,0,0,0,17616,20784
474443,0,0,0,17376,21024
474465,0,0,0,17616,20784
474468,0,0,0,17592,20808
474488,0,0,0,17616,20784
474527,0,0,0,17592,20808
474542,0,0,0,17616,20784
474544,0,0,0,17664,20736
474592,0,0,0,17616,20784
474592,0,0,0,17592,20808
474603,0,0,0,17640,20760
474604,0,0,0,17664,20736
474611,0,0,0,17904,20496
474662,0,0,0,17880,20520
474663,0,0,0,17832,20568
474674,0,0,0,17856,20544
474674,0,0,0,17904,20496
474725,0,0,0,17856,20544
474737,0,0,0,17904,20496
474785,0,0,0,17856,20544
474797,0,0,0,17904,20496
474849,0,0,0,17856,20544
474861,0,0,0,17904,20496
474914,0,0,0,17880,20520
474944,0,0,0,17856,20544
474946,0,0,0,17880,20520
474983,0,0,0,17904,20496
475042,0,0,0,17880,20520
475044,0,0,0,17904,20496
478354,0,0,0,19704,18696
488387,0,0,0,19968,18432
490820,0,0,0,22368,16032
497343,0,0,0,19296,19104
497395,0,0,0,16224,22176
498073,0,0,0,13152,25248
498124,0,0,0,16224,22176
498201,0,0,0,19296,19104
498223,0,0,0,17760,20640
498244,0,0,0,19296,19104
498312,0,0,0,17760,20640
498334,0,0,0,19296,19104
498860,0,0,0,12048,26352
504386,0,0,0,12024,26376
506511,0,0,0,11928,26472
506864,0,0,0,11952,26448
506876,0,0,0,11928,26472
507889,0,0,0,11952,26448
508079,0,0,0,12048,26352
508109,0,0,0,11928,26472
513342,0,0,0,11784,26616
513541,0,0,0,10824,27576
515065,0,0,0,10944,27456
516943,0,0,0,11088,27312
516997,0,0,0,10944,27456
517223,0,0,0,8880,29520
518893,0,0,0,10944,27456
519036,0,0,0,9912,28488
519632,0,0,0,10944,27456
