time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
81466,0,0,0,222,18
81467,0,0,0,223,17
81480,0,0,0,222,18
81481,0,0,0,223,17
81494,0,0,0,222,18
81495,0,0,0,223,17
81507,0,0,0,222,18
81508,0,0,0,223,17
81521,0,0,0,222,18
81522,0,0,0,223,17
83049,0,0,0,207,33
83153,0,0,0,191,49
83856,0,0,0,190,50
83857,0,0,0,191,49
84891,0,0,0,183,57
85019,0,0,0,182,58
85020,0,0,0,183,57
85036,0,0,0,182,58
85037,0,0,0,183,57
85049,0,0,0,175,65
85050,0,0,0,174,66
85051,0,0,0,175,65
85066,0,0,0,174,66
85067,0,0,0,175,65
85080,0,0,0,174,66
85081,0,0,0,175,65
85094,0,0,0,174,66
85095,0,0,0,175,65
85107,0,0,0,174,66
85108,0,0,0,175,65
85121,0,0,0,174,66
85122,0,0,0,175,65
85131,0,0,0,167,73
85184,0,0,0,159,81
85213,0,0,0,151,89
85236,0,0,0,143,97
85359,0,0,0,135,105
85410,0,0,0,127,113
85437,0,0,0,119,121
85543,0,0,0,127,113
85667,0,0,0,135,105
85710,0,0,0,127,113
85712,0,0,0,135,105
85795,0,0,0,127,113
85796,0,0,0,135,105
85849,0,0,0,143,97
85855,0,0,0,135,105
85878,0,0,0,143,97
85900,0,0,0,135,105
85908,0,0,0,143,97
86093,0,0,0,151,89
86217,0,0,0,143,97
86344,0,0,0,135,105
86403,0,0,0,127,113
86405,0,0,0,135,105
86406,0,0,0,143,97
86437,0,0,0,135,105
86465,0,0,0,143,97
86473,0,0,0,135,105
86499,0,0,0,143,97
86535,0,0,0,151,89
86649,0,0,0,135,105
86650,0,0,0,151,89
86736,0,0,0,143,97
86753,0,0,0,127,113
86754,0,0,0,143,97
86799,0,0,0,135,105
86839,0,0,0,127,113
86879,0,0,0,119,121
86922,0,0,0,127,113
87061,0,0,0,119,121
87166,0,0,0,111,129
87211,0,0,0,103,137
87240,0,0,0,95,145
87265,0,0,0,87,153
87283,0,0,0,95,145
87294,0,0,0,87,153
87456,0,0,0,86,154
87457,0,0,0,87,153
87475,0,0,0,79,161
87539,0,0,0,71,169
87608,0,0,0,63,177
87627,0,0,0,71,169
87640,0,0,0,63,177
87694,0,0,0,55,185
87866,0,0,0,47,193
88105,0,0,0,39,201
88240,0,0,0,47,193
88254,0,0,0,39,201
88317,0,0,0,31,209
88358,0,0,0,23,217
88440,0,0,0,15,225
88499,0,0,0,7,233
88620,0,0,0,8,232
88620,0,0,0,0,240
88637,0,0,0,1,239
88637,0,0,0,0,240
88651,0,0,0,1,239
88667,0,0,0,2,238
88681,0,0,0,3,237
88695,0,0,0,4,236
88708,0,0,0,5,235
88722,0,0,0,6,234
88960,0,0,0,14,226
88960,0,0,0,6,234
88960,0,0,0,5,235
88960,0,0,0,4,236
88960,0,0,0,3,237
89011,0,0,0,11,229
89011,0,0,0,3,237
89011,0,0,0,2,238
89011,0,0,0,1,239
89011,0,0,0,0,240
89396,0,0,0,8,232
89396,0,0,0,7,233
89456,0,0,0,15,225
89456,0,0,0,7,233
89501,0,0,0,15,225
89501,0,0,0,7,233
90250,0,0,0,23,217
90250,0,0,0,15,225
90250,0,0,0,7,233
90337,0,0,0,15,225
90337,0,0,0,7,233
90354,0,0,0,23,217
90354,0,0,0,15,225
90400,0,0,0,23,217
90400,0,0,0,7,233
90440,0,0,0,15,225
90440,0,0,0,7,233
90466,0,0,0,15,225
90480,0,0,0,23,217
90480,0,0,0,7,233
90508,0,0,0,15,225
90508,0,0,0,7,233
90662,0,0,0,15,225
90662,0,0,0,7,233
90767,0,0,0,15,225
90767,0,0,0,7,233
90841,0,0,0,15,225
90841,0,0,0,7,233
90895,0,0,0,15,225
90895,0,0,0,7,233
91057,0,0,0,8,232
91057,0,0,0,0,240
91076,0,0,0,8,232
91076,0,0,0,0,240
91209,0,0,0,8,232
91209,0,0,0,7,233
91295,0,0,0,15,225
91295,0,0,0,7,233
91467,0,0,0,15,225
91467,0,0,0,7,233
91706,0,0,0,15,225
91706,0,0,0,7,233
91855,0,0,0,15,225
91855,0,0,0,7,233
91918,0,0,0,15,225
91918,0,0,0,7,233
91959,0,0,0,15,225
91959,0,0,0,7,233
92041,0,0,0,15,225
92041,0,0,0,7,233
92100,0,0,0,15,225
92100,0,0,0,7,233
92221,0,0,0,15,225
92221,0,0,0,7,233
92238,0,0,0,8,232
92238,0,0,0,0,240
92561,0,0,0,8,232
92561,0,0,0,9,231
92561,0,0,0,10,230
92561,0,0,0,11,229
92561,0,0,0,3,237
92561,0,0,0,2,238
92612,0,0,0,10,230
92612,0,0,0,11,229
92612,0,0,0,12,228
92612,0,0,0,13,227
92612,0,0,0,5,235
92612,0,0,0,4,236
92612,0,0,0,3,237
92612,0,0,0,2,238
92997,0,0,0,3,237
93057,0,0,0,11,229
93057,0,0,0,3,237
93057,0,0,0,2,238
93057,0,0,0,1,239
93057,0,0,0,0,240
93102,0,0,0,8,232
93102,0,0,0,7,233
93200,0,0,0,15,225
93200,0,0,0,7,233
93851,0,0,0,15,225
93851,0,0,0,7,233
93938,0,0,0,15,225
93938,0,0,0,7,233
93955,0,0,0,15,225
93955,0,0,0,7,233
94001,0,0,0,23,217
94001,0,0,0,15,225
94001,0,0,0,7,233
94041,0,0,0,15,225
94081,0,0,0,31,209
94081,0,0,0,15,225
94081,0,0,0,7,233
94109,0,0,0,15,225
94263,0,0,0,23,217
94263,0,0,0,7,233
94368,0,0,0,15,225
94368,0,0,0,7,233
94442,0,0,0,15,225
94442,0,0,0,7,233
94496,0,0,0,15,225
94496,0,0,0,7,233
94509,0,0,0,23,217
94509,0,0,0,15,225
94509,0,0,0,7,233
94658,0,0,0,15,225
94658,0,0,0,7,233
94677,0,0,0,15,225
94677,0,0,0,7,233
94677,0,0,0,6,234
94810,0,0,0,7,233
94896,0,0,0,15,225
94896,0,0,0,7,233
95307,0,0,0,15,225
95307,0,0,0,7,233
95456,0,0,0,15,225
95456,0,0,0,7,233
95519,0,0,0,15,225
95519,0,0,0,7,233
95560,0,0,0,15,225
95560,0,0,0,7,233
95642,0,0,0,15,225
95642,0,0,0,7,233
95701,0,0,0,15,225
95701,0,0,0,7,233
95822,0,0,0,15,225
95822,0,0,0,7,233
95839,0,0,0,15,225
95839,0,0,0,7,233
96162,0,0,0,15,225
96162,0,0,0,16,224
96162,0,0,0,8,232
96162,0,0,0,7,233
96213,0,0,0,15,225
96213,0,0,0,16,224
96213,0,0,0,17,223
96213,0,0,0,18,222
96213,0,0,0,10,230
96213,0,0,0,9,231
96213,0,0,0,8,232
96213,0,0,0,7,233
96658,0,0,0,15,225
96658,0,0,0,16,224
96658,0,0,0,17,223
96658,0,0,0,18,222
96658,0,0,0,10,230
96658,0,0,0,9,231
96658,0,0,0,8,232
96658,0,0,0,7,233
96658,0,0,0,6,234
96703,0,0,0,7,233
96801,0,0,0,15,225
96801,0,0,0,7,233
97452,0,0,0,15,225
97452,0,0,0,7,233
97539,0,0,0,15,225
97539,0,0,0,7,233
97556,0,0,0,15,225
97556,0,0,0,7,233
97602,0,0,0,15,225
97602,0,0,0,7,233
97682,0,0,0,15,225
97682,0,0,0,7,233
97864,0,0,0,23,217
97864,0,0,0,15,225
97864,0,0,0,7,233
97969,0,0,0,15,225
98043,0,0,0,23,217
98043,0,0,0,7,233
98097,0,0,0,15,225
98097,0,0,0,7,233
98110,0,0,0,15,225
98110,0,0,0,23,217
98110,0,0,0,15,225
98110,0,0,0,7,233
98259,0,0,0,15,225
98259,0,0,0,7,233
98278,0,0,0,15,225
98278,0,0,0,16,224
98278,0,0,0,8,232
98278,0,0,0,0,240
98497,0,0,0,8,232
98497,0,0,0,0,240
98908,0,0,0,8,232
98908,0,0,0,7,233
99057,0,0,0,15,225
99057,0,0,0,7,233
99120,0,0,0,15,225
99120,0,0,0,7,233
99161,0,0,0,15,225
99161,0,0,0,7,233
99243,0,0,0,15,225
99243,0,0,0,7,233
99302,0,0,0,15,225
99302,0,0,0,7,233
99423,0,0,0,15,225
99423,0,0,0,7,233
99440,0,0,0,15,225
99440,0,0,0,7,233
99763,0,0,0,15,225
99763,0,0,0,16,224
99763,0,0,0,8,232
99763,0,0,0,0,240
99814,0,0,0,8,232
99814,0,0,0,9,231
99814,0,0,0,10,230
99814,0,0,0,11,229
99814,0,0,0,3,237
99814,0,0,0,2,238
100259,0,0,0,10,230
100259,0,0,0,11,229
100259,0,0,0,12,228
100259,0,0,0,13,227
100259,0,0,0,14,226
100259,0,0,0,6,234
100259,0,0,0,5,235
100259,0,0,0,4,236
100259,0,0,0,3,237
100402,0,0,0,11,229
100402,0,0,0,3,237
100402,0,0,0,2,238
100402,0,0,0,1,239
100402,0,0,0,0,240
101053,0,0,0,8,232
101053,0,0,0,7,233
101140,0,0,0,15,225
101140,0,0,0,7,233
101157,0,0,0,15,225
101157,0,0,0,7,233
101203,0,0,0,15,225
101203,0,0,0,7,233
101283,0,0,0,15,225
101283,0,0,0,7,233
101465,0,0,0,15,225
101465,0,0,0,23,217
101465,0,0,0,15,225
101465,0,0,0,7,233
101644,0,0,0,23,217
101644,0,0,0,15,225
101644,0,0,0,7,233
101698,0,0,0,15,225
101711,0,0,0,23,217
101711,0,0,0,31,209
101711,0,0,0,15,225
101711,0,0,0,7,233
101860,0,0,0,15,225
101860,0,0,0,7,233
101879,0,0,0,15,225
101879,0,0,0,23,217
101879,0,0,0,15,225
101879,0,0,0,7,233
102098,0,0,0,15,225
102098,0,0,0,7,233
102509,0,0,0,8,232
