time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
105763,0,0,0,66,174
105776,0,0,0,68,172
106173,0,0,0,66,174
106206,0,0,0,64,176
106340,0,0,0,66,174
106411,0,0,0,76,164
106413,0,0,0,86,154
106413,0,0,0,96,144
106833,0,0,0,94,146
107008,0,0,0,96,144
107571,0,0,0,94,146
107756,0,0,0,96,144
108079,0,0,0,88,152
108130,0,0,0,94,146
108210,0,0,0,96,144
108256,0,0,0,88,152
108320,0,0,0,94,146
108410,0,0,0,92,148
108863,0,0,0,94,146
109179,0,0,0,92,148
109438,0,0,0,94,146
109689,0,0,0,93,147
109756,0,0,0,92,148
109912,0,0,0,90,150
109922,0,0,0,58,182
109960,0,0,0,26,214
110012,0,0,0,32,208
110024,0,0,0,31,209
110083,0,0,0,29,211
110176,0,0,0,27,213
110246,0,0,0,25,215
110691,0,0,0,17,223
110802,0,0,0,1,239
111141,0,0,0,0,240
113611,0,0,0,2,238
113611,0,0,0,1,239
114174,0,0,0,3,237
114296,0,0,0,1,239
114803,0,0,0,3,237
115319,0,0,0,2,238
115344,0,0,0,0,240
116253,0,0,0,1,239
117101,0,0,0,11,229
117101,0,0,0,7,233
117101,0,0,0,3,237
117111,0,0,0,7,233
117118,0,0,0,11,229
117118,0,0,0,3,237
117149,0,0,0,13,227
117181,0,0,0,23,217
117190,0,0,0,33,207
117190,0,0,0,43,197
117190,0,0,0,53,187
117190,0,0,0,17,223
117190,0,0,0,9,231
117190,0,0,0,1,239
117208,0,0,0,11,229
117208,0,0,0,3,237
118584,0,0,0,27,213
118584,0,0,0,51,189
118584,0,0,0,43,197
118584,0,0,0,35,205
118584,0,0,0,27,213
118584,0,0,0,19,221
118584,0,0,0,11,229
118584,0,0,0,3,237
119043,0,0,0,5,235
119667,0,0,0,3,237
120141,0,0,0,5,235
120538,0,0,0,3,237
122526,0,0,0,4,236
122526,0,0,0,0,240
122592,0,0,0,4,236
123245,0,0,0,6,234
123462,0,0,0,4,236
123956,0,0,0,12,228
123956,0,0,0,4,236
123985,0,0,0,12,228
123985,0,0,0,4,236
123985,0,0,0,2,238
124313,0,0,0,10,230
124313,0,0,0,2,238
124936,0,0,0,10,230
124936,0,0,0,0,240
125576,0,0,0,8,232
125731,0,0,0,16,224
125731,0,0,0,6,234
